#Longitude	Latitude	Magnitude
-23.4506	-60.7878	4.9
-55.858		-60.765		6.6
-55.8864	-60.8516	6.2
-53.5276	-61.2129	5.1
-2.2892		71.6769		4.8
-97.6149	16.6387		4.6
-13.2831	-15.5322	5.1
-70.5709	-20.3127	4.2
94.8588		4.4721		4.7
-56.0301	-60.7047	5.6
-88.0299	12.2178		4.7
-77.8584	6.437		4.4
-24.8828	-56.7074	5.1
123.1631	-3.5957		4.9
96.0925		51.6166		4.8
-24.9122	-56.6854	5.1
128.1167	3.7124		4.7
140.4283	35.8814		4.6
140.7225	35.668		4.6
123.1273	-0.0247		5.2
-12.6125	-2.2391		5.1
125.46		-0.2488		5.3
121.6152	21.201		4.6
-124.7825	40.528		4.3
-74.2706	-8.7029		4.5
-172.8969	-19.2924	4.9
-104.1055	-4.0252		4.8
-103.8557	-4.0451		4.8
139.7827	36.0328		4.7
126.1081	6.6268		5
133.2896	-4.4788		4.9
166.6147	-45.536		4.3
-165.4896	55.2666		4.4
141.1617	12.1491		4.9
-71.5564	-31.6337	5.6
125.8305	11.1625		5.7
-177.4735	-15.6655	4.6
135.0375	-4.0142		4.7
126.8527	-0.9195		5.2
