
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"
# IsoCurve 0, 100 points
# x y z type
-4 -4 -0.377 i
-3.91919 -4 -0.2154 i
-3.83838 -4 -0.0534633 i
-3.75758 -4  0.104568 i
-3.67677 -4  0.254569 i
-3.59596 -4  0.392638 i
-3.51515 -4  0.515195 i
-3.43434 -4  0.619074 i
-3.35354 -4  0.701607 i
-3.27273 -4  0.760689 i
-3.19192 -4  0.794832 i
-3.11111 -4  0.803206 i
-3.0303 -4  0.785653 i
-2.94949 -4  0.742695 i
-2.86869 -4  0.675518 i
-2.78788 -4  0.585937 i
-2.70707 -4  0.476351 i
-2.62626 -4  0.349674 i
-2.54545 -4  0.209266 i
-2.46465 -4  0.0588356 i
-2.38384 -4 -0.0976534 i
-2.30303 -4 -0.256087 i
-2.22222 -4 -0.412308 i
-2.14141 -4 -0.56223 i
-2.06061 -4 -0.701939 i
-1.9798 -4 -0.8278 i
-1.89899 -4 -0.93655 i
-1.81818 -4 -1.02539 i
-1.73737 -4 -1.09204 i
-1.65657 -4 -1.13482 i
-1.57576 -4 -1.1527 i
-1.49495 -4 -1.14529 i
-1.41414 -4 -1.11289 i
-1.33333 -4 -1.05645 i
-1.25253 -4 -0.977579 i
-1.17172 -4 -0.878464 i
-1.09091 -4 -0.761847 i
-1.0101 -4 -0.630933 i
-0.929293 -4 -0.489313 i
-0.848485 -4 -0.340867 i
-0.767677 -4 -0.189663 i
-0.686869 -4 -0.0398509 i
-0.606061 -4  0.104449 i
-0.525253 -4  0.239253 i
-0.444444 -4  0.360819 i
-0.363636 -4  0.465744 i
-0.282828 -4  0.551059 i
-0.20202 -4  0.614301 i
-0.121212 -4  0.653585 i
-0.040404 -4  0.66765 i
 0.040404 -4  0.655896 i
 0.121212 -4  0.618399 i
 0.20202 -4  0.555913 i
 0.282828 -4  0.469849 i
 0.363636 -4  0.362243 i
 0.444444 -4  0.235701 i
 0.525253 -4  0.0933367 i
 0.606061 -4 -0.0613142 i
 0.686869 -4 -0.22438 i
 0.767677 -4 -0.391753 i
 0.848485 -4 -0.559199 i
 0.929293 -4 -0.722462 i
 1.0101 -4 -0.877377 i
 1.09091 -4 -1.01998 i
 1.17172 -4 -1.1466 i
 1.25253 -4 -1.25396 i
 1.33333 -4 -1.33929 i
 1.41414 -4 -1.40033 i
 1.49495 -4 -1.43546 i
 1.57576 -4 -1.4437 i
 1.65657 -4 -1.42475 i
 1.73737 -4 -1.37901 i
 1.81818 -4 -1.30753 i
 1.89899 -4 -1.21202 i
 1.9798 -4 -1.0948 i
 2.06061 -4 -0.958724 i
 2.14141 -4 -0.807126 i
 2.22222 -4 -0.643717 i
 2.30303 -4 -0.472498 i
 2.38384 -4 -0.297655 i
 2.46465 -4 -0.123451 i
 2.54545 -4  0.0458839 i
 2.62626 -4  0.206263 i
 2.70707 -4  0.353846 i
 2.78788 -4  0.485139 i
 2.86869 -4  0.597085 i
 2.94949 -4  0.687138 i
 3.0303 -4  0.753334 i
 3.11111 -4  0.794337 i
 3.19192 -4  0.809471 i
 3.27273 -4  0.79874 i
 3.35354 -4  0.762822 i
 3.43434 -4  0.703053 i
 3.51515 -4  0.62139 i
 3.59596 -4  0.520356 i
 3.67677 -4  0.402977 i
 3.75758 -4  0.272697 i
 3.83838 -4  0.133289 i
 3.91919 -4 -0.0112424 i
 4 -4 -0.156771 i

# IsoCurve 1, 100 points
# x y z type
-4 -3.91919 -0.113093 i
-3.91919 -3.91919  0.0348034 i
-3.83838 -3.91919  0.178385 i
-3.75758 -3.91919  0.313831 i
-3.67677 -3.91919  0.437525 i
-3.59596 -3.91919  0.546147 i
-3.51515 -3.91919  0.636754 i
-3.43434 -3.91919  0.706856 i
-3.35354 -3.91919  0.754479 i
-3.27273 -3.91919  0.778213 i
-3.19192 -3.91919  0.777249 i
-3.11111 -3.91919  0.751398 i
-3.0303 -3.91919  0.701097 i
-2.94949 -3.91919  0.6274 i
-2.86869 -3.91919  0.531948 i
-2.78788 -3.91919  0.41693 i
-2.70707 -3.91919  0.285031 i
-2.62626 -3.91919  0.13936 i
-2.54545 -3.91919 -0.0166233 i
-2.46465 -3.91919 -0.179195 i
-2.38384 -3.91919 -0.344464 i
-2.30303 -3.91919 -0.508465 i
-2.22222 -3.91919 -0.667259 i
-2.14141 -3.91919 -0.81703 i
-2.06061 -3.91919 -0.954186 i
-1.9798 -3.91919 -1.07544 i
-1.89899 -3.91919 -1.1779 i
-1.81818 -3.91919 -1.25914 i
-1.73737 -3.91919 -1.31724 i
-1.65657 -3.91919 -1.35089 i
-1.57576 -3.91919 -1.35935 i
-1.49495 -3.91919 -1.34252 i
-1.41414 -3.91919 -1.30092 i
-1.33333 -3.91919 -1.23569 i
-1.25253 -3.91919 -1.14854 i
-1.17172 -3.91919 -1.04174 i
-1.09091 -3.91919 -0.918035 i
-1.0101 -3.91919 -0.780584 i
-0.929293 -3.91919 -0.632887 i
-0.848485 -3.91919 -0.478692 i
-0.767677 -3.91919 -0.321905 i
-0.686869 -3.91919 -0.166487 i
-0.606061 -3.91919 -0.0163596 i
-0.525253 -3.91919  0.124695 i
-0.444444 -3.91919  0.253128 i
-0.363636 -3.91919  0.365713 i
-0.282828 -3.91919  0.459627 i
-0.20202 -3.91919  0.532519 i
-0.121212 -3.91919  0.582572 i
-0.040404 -3.91919  0.608544 i
 0.040404 -3.91919  0.609804 i
 0.121212 -3.91919  0.586344 i
 0.20202 -3.91919  0.538778 i
 0.282828 -3.91919  0.468333 i
 0.363636 -3.91919  0.376808 i
 0.444444 -3.91919  0.26654 i
 0.525253 -3.91919  0.140337 i
 0.606061 -3.91919  0.00140971 i
 0.686869 -3.91919 -0.146706 i
 0.767677 -3.91919 -0.300242 i
 0.848485 -3.91919 -0.455288 i
 0.929293 -3.91919 -0.607894 i
 1.0101 -3.91919 -0.754165 i
 1.09091 -3.91919 -0.890364 i
 1.17172 -3.91919 -1.013 i
 1.25253 -3.91919 -1.11891 i
 1.33333 -3.91919 -1.20537 i
 1.41414 -3.91919 -1.27011 i
 1.49495 -3.91919 -1.31142 i
 1.57576 -3.91919 -1.32816 i
 1.65657 -3.91919 -1.31981 i
 1.73737 -3.91919 -1.28648 i
 1.81818 -3.91919 -1.22889 i
 1.89899 -3.91919 -1.14837 i
 1.9798 -3.91919 -1.04682 i
 2.06061 -3.91919 -0.926659 i
 2.14141 -3.91919 -0.790778 i
 2.22222 -3.91919 -0.642452 i
 2.30303 -3.91919 -0.485266 i
 2.38384 -3.91919 -0.323025 i
